create_time	distance	time_offset	count	speed	calorie
1533537727.27	46.470013	UTC-0300	98	1.3570954	2.6699982
1533456926.283	81.3	UTC-0300	116	1.3550001	3.48
1530853264.143	69.84	UTC-0600	99	1.3055556	2.97
1531815689.392	13.650002	UTC-0300	19	1.4545285	0.56999993
1533456926.88	84.13	UTC-0300	120	1.4021667	3.6
1534818105.9	76.1	UTC-0300	117	1.3888888	3.48
1533690885.775	7.21	UTC-0400	10	1.25	0.29
1533599703.143	10.22	UTC-0300	15	1.0833334	0.45
1532996051.88	6.16	UTC-0300	9	1.4166666	0.27
1534569892.051	60.17	UTC-0500	101	1.1388888	3.98
1531010424.317	10.08	UTC-0600	11	3.2777777	0.48
1534390536.236	24.41	UTC-0500	35	1.4722222	1.1
1532379909.243	0.69	UTC-0300	1	1.1944444	0.03
1533186899.265	72.1	UTC-0300	104	1.2016665	3.13
1531289129.236	66.039986	UTC-0300	95	1.2275547	3.0999992
1534199195.248	5.04	UTC-0400	7	1.1692388	0.21000001
1533453303.272	70.09	UTC-0300	102	1.1681666	3.06
1533708715.751	21.68	UTC-0400	38	1.4166666	1.14
1533439980.566	79.94995	UTC-0300	114	1.3324991	3.4199977
1533696250.284	38.649998	UTC-0400	55	1.2357544	1.6199994
1531758139.062	4.13	UTC-0300	6	1.1666666	0.18
1534215287.896	76.43	UTC-0500	109	1.2738334	3.27
1531861023.248	30.530014	UTC-0300	43	1.3156307	1.2799993
1533948032.852	18.71	UTC-0400	27	1.1944444	0.81
1532141024.901	7.39	UTC-0300	10	1.9444444	0.31
1532833217.992	14.580001	UTC-0300	21	1.188429	0.63
1532752042.259	49.04	UTC-0300	70	1.2777778	2.09
1530858335.878	85.78	UTC-0600	120	1.4296666	3.6
1534570284.259	8.39	UTC-0500	12	1.5555556	0.36
1531453867.255	94.5	UTC-0300	135	1.575	4.05
1531951707.889	85.55992	UTC-0300	121	1.4259988	3.6299982
1532821483.034	72.89	UTC-0300	104	1.25	3.12
1532401329.543	20.859997	UTC-0300	35	1.4432342	1.6499999
1534491422.935	75.88	UTC-0500	110	1.3333334	3.3
1534976091.194	9.77	UTC-0300	14	1.2222222	0.42
1533770442.773	5.46	UTC-0400	8	1.3611112	0.24
1531275517.83	32.079998	UTC-0300	46	1.222815	1.38
1531025653.577	77.08	UTC-0600	109	1.3055556	3.27
1532401111.364	74.97	UTC-0300	107	1.25	3.21
1531461301.012	80.51	UTC-0300	116	1.3418334	3.48
1534919329.808	9.51	UTC-0300	13	1.4722222	0.38
1534997476.004	58.9	UTC-0300	111	1.4166666	3.3
1533938331.464	14.709998	UTC-0400	21	1.2678173	0.62999994
1530954898.279	71.52	UTC-0600	105	1.4166666	3.8
1533184846.122	57.78	UTC-0300	83	1.2222222	2.49
1531080408.399	36.77	UTC-0600	52	1.3055556	1.55
1532142789.44	78.35	UTC-0300	110	1.3611112	3.3
1531968898.989	64.3	UTC-0300	91	1.3055556	2.73
1534970686.082	47.37	UTC-0300	67	1.3333334	2.01
1534909882.701	85.4	UTC-0300	122	1.4233333	3.66
1534818964.259	88.03991	UTC-0300	124	1.4673318	3.719997
1533612465.09	44.95	UTC-0400	64	1.2238331	1.9
1533349419.157	32.95001	UTC-0300	47	1.2670771	1.4099994
1533945306.62	42.589973	UTC-0400	62	1.125422	1.8599992
1531107497.452	55.46	UTC-0300	76	1.3888888	2.35
1532152161.027	20.23	UTC-0300	30	1.1388888	0.92
1534721426.257	79.61	UTC-0300	111	1.5	3.36
1533610530.01	8.59	UTC-0300	12	1.5555556	0.3
1531850964.595	68.83	UTC-0300	109	1.2777778	4.73
1534492763.105	16.97	UTC-0500	25	1.0833334	0.75
1533933003.423	22.35	UTC-0400	30	1.6666666	0.89
1533336149.05	53.84	UTC-0300	76	1.3333334	2.28
1533161698.346	44.97	UTC-0300	64	1.2222222	1.91
1533963320.349	35.1	UTC-0400	51	1.1666666	1.53
1533436197.721	57.18	UTC-0300	82	1.2338539	2.4599998
1532147607.612	44.6	UTC-0300	62	1.4444444	1.88
1532055752.167	73.78	UTC-0300	106	1.2296666	3.18
1533452581.993	84.49	UTC-0300	120	1.4081666	3.6
1533430518.579	60.54	UTC-0300	95	1.0555556	3.42
1533850148.922	21.02	UTC-0400	29	1.3888888	0.85
